mean_packet_size,std_packet_size,min_packet_size,max_packet_size,total_bytes,mean_iat,std_iat,max_iat,flow_duration,packet_count,large_packet_ratio,burst_density,mean_burst_time,label,group_id
92.68,58.417613782146226,70.0,469.0,9268,0.0010074244605170356,0.0014790488849281767,0.008975982666015625,0.09973502159118652,100,0.0,92925.3027355464,0.09973502159118652,signaling,0
83.13,33.69559466755261,70.0,409.0,8313,0.0004427866502241655,0.0007425573392492506,0.0031883716583251953,0.04383587837219238,100,0.0,189634.85331732227,0.04383587837219238,signaling,0
83.6,39.48999873385664,70.0,469.0,8360,0.0007837589340980607,0.0013987697914886225,0.006433963775634766,0.07759213447570801,100,0.0,107741.4910028832,0.07759213447570801,signaling,0
87.32,51.00821110370368,70.0,469.0,8732,0.000491118190264461,0.0007858813909214962,0.004868507385253906,0.04862070083618164,100,0.0,179590.5912345649,0.04862070083618164,signaling,0
79.82,7.828639728586315,70.0,88.0,7982,0.0005701816443241004,0.00094020347858656,0.004303693771362305,0.05644798278808594,100,0.0,141402.0165777845,0.05644798278808594,signaling,0
92.56,51.583586536804525,70.0,469.0,9256,0.000610606838958432,0.0008369444979816628,0.004854440689086914,0.060450077056884766,100,0.0,153115.5514613918,0.060450077056884766,signaling,0
94.18,59.12806102012817,70.0,469.0,9418,0.000990576214260525,0.0019206954957196967,0.011135339736938477,0.09806704521179199,100,0.0,96035.35973068984,0.09806704521179199,signaling,0
88.66,51.35975467231128,70.0,469.0,8866,0.0008611197423453283,0.001962833600344601,0.011524677276611328,0.0852508544921875,100,0.0,103997.73767751272,0.0852508544921875,signaling,0
84.08,12.3025850941987,70.0,112.0,8408,0.0004215384974624171,0.0007502808110643024,0.006181240081787109,0.0417323112487793,100,0.0,201469.75517659012,0.0417323112487793,signaling,0
92.24,51.294467537932384,70.0,469.0,9224,0.0008187414419771444,0.0014638540729504255,0.00832819938659668,0.0810554027557373,100,0.0,113797.30269793043,0.0810554027557373,signaling,0
84.17,33.827519861793,70.0,409.0,8417,0.0005735122796260949,0.0009895382415272738,0.005869865417480469,0.0567777156829834,100,0.0,148242.16960093335,0.0567777156829834,signaling,0
90.57,60.615716608813585,70.0,469.0,9057,0.0010364681783348623,0.001965865042750656,0.00945425033569336,0.10261034965515137,100,0.0,88265.08987980467,0.10261034965515137,signaling,0
92.21,59.26251682134331,70.0,469.0,9221,0.001016144800667811,0.0035945036461233607,0.027684926986694336,0.10059833526611328,100,0.0,91660.64542681008,0.10059833526611328,signaling,0
84.43,39.42619814285926,70.0,469.0,8443,0.0009830503752737334,0.001939772379492568,0.011734962463378906,0.09732198715209961,100,0.0,86752.37214826747,0.09732198715209961,signaling,0
87.52,50.97832480574465,70.0,469.0,8752,0.0006606217586632931,0.0017245832326359756,0.013540267944335938,0.06540155410766602,100,0.0,133817.40391349874,0.06540155410766602,signaling,0
85.72,51.20450761407631,70.0,469.0,8572,0.0005710028638743391,0.0013498702139008848,0.009463071823120117,0.05652928352355957,100,0.0,151635.53878917894,0.05652928352355957,signaling,0
87.02,51.13374228432728,70.0,469.0,8702,0.0012896614845352944,0.0022036737042231665,0.009598970413208008,0.12767648696899414,100,0.0,68156.10337093522,0.12767648696899414,signaling,0
89.02,59.08840495393322,70.0,469.0,8902,0.0014397640420932961,0.0028542731773435284,0.011884689331054688,0.14253664016723633,100,0.0,62453.67882866221,0.14253664016723633,signaling,0
87.76,51.04118337186159,70.0,469.0,8776,0.0010925085857661084,0.002130455780041266,0.01370692253112793,0.10815834999084473,100,0.0,81139.54087873915,0.10815834999084473,signaling,0
89.19,51.35614763589652,70.0,469.0,8919,0.0005231794684824317,0.0008986677277359749,0.0042095184326171875,0.05179476737976074,100,0.0,172195.53741924305,0.05179476737976074,signaling,0
87.16,51.21166273418585,70.0,469.0,8716,0.0012407399187184343,0.002765815570812767,0.021497726440429688,0.122833251953125,100,0.0,70957.40692364967,0.122833251953125,signaling,0
89.91,59.01187931255876,70.0,469.0,8991,0.0005773462430395261,0.0010999285331463626,0.007018566131591797,0.057157278060913086,100,0.0,157300.05005431353,0.057157278060913086,signaling,0
78.7,7.654410493303844,70.0,88.0,7870,0.0005668148849949692,0.0009245175817356031,0.004736185073852539,0.05611467361450195,100,0.0,140246.02206621572,0.05611467361450195,signaling,0
85.94,51.186095768284574,70.0,469.0,8594,0.0004226752001829822,0.0008383744474484707,0.005097627639770508,0.041844844818115234,100,0.0,205372.8401793342,0.041844844818115234,signaling,0
85.42,40.32621479881294,70.0,469.0,8542,0.0010404948032263553,0.001669567511197604,0.009480476379394531,0.10300898551940918,100,0.0,82923.99961934285,0.10300898551940918,signaling,0
82.44,11.51548522642446,70.0,112.0,8244,0.0007728952350038471,0.0014913401761059003,0.008218526840209961,0.07651662826538086,100,0.0,107739.8788604359,0.07651662826538086,signaling,0
95.32,59.09160346445171,70.0,469.0,9532,0.001083361982095121,0.0017448724545842665,0.009682416915893555,0.10725283622741699,100,0.0,88873.2779663816,0.10725283622741699,signaling,0
90.11,35.51672704515436,70.0,409.0,9011,0.0005442132853498363,0.0007173750966497574,0.0031511783599853516,0.05387711524963379,100,0.0,167247.8697194451,0.05387711524963379,signaling,0
