Biflow_ID,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,total_bytes,packet_count,duration,mean_iat,std_iat,max_iat,min_iat,byte_rate,packet_rate,label
10.42.0.113_142.251.157.119_443_58191_UDP,1087.4,394.155265515169,80.0,1242.0,16311,15,0.033910512924194336,0.0024221794945853098,0.004619679495846105,0.013913393020629883,0.0,480987.09239135234,442.32765531667496,Other/Media
10.42.0.113_142.251.220.174_443_55319_UDP,594.21875,546.051607815999,68.0,1294.0,19015,32,0.13213682174682617,0.00426247812086536,0.00786775264566246,0.030498027801513672,0.0,143902.78081344807,242.1713902724343,Other/Media
10.42.0.113_142.251.220.174_443_56668_UDP,824.4918032786885,539.0263420963742,68.0,1294.0,50294,61,0.14040279388427734,0.0023400465647379558,0.006382472204494376,0.03219175338745117,2.384185791015625e-07,358209.69368856924,434.46119447653246,Other/Media
10.42.0.113_142.251.220.227_443_50470_UDP,935.1340206185567,496.8401312888205,73.0,1294.0,90708,97,0.06485605239868164,0.0006755838791529337,0.0019125130650022365,0.015322685241699219,0.0,1398583.4484492212,1495.5967996160698,Other/Media
10.42.0.113_146.75.23.6_443_51164_UDP,681.6,550.7627801513098,66.0,1322.0,13632,20,0.04622936248779297,0.002433124341462788,0.005884302804363943,0.02646470069885254,2.384185791015625e-07,294871.1467187717,432.6161190122824,Other/Media
10.42.0.113_150.171.22.17_443_52287_TCP,429.93333333333334,579.258372595703,54.0,1584.0,12898,30,1.056943655014038,0.036446332931518555,0.14423587552998918,0.7682216167449951,0.0,12203.098751493939,28.383699995721678,Other/Media
10.42.0.113_150.171.22.17_443_58068_UDP,1064.8333333333333,405.1668037844276,159.0,1262.0,6389,6,0.01566910743713379,0.003133821487426758,0.0036965491998407346,0.010069847106933594,2.384185791015625e-07,407718.96591211937,382.8946306891088,Other/Media
10.42.0.113_150.171.23.17_443_52279_TCP,458.82142857142856,590.422370219068,54.0,1584.0,12847,28,3.1005403995513916,0.1148348296130145,0.4668983942248226,2.487726926803589,0.0,4143.469912015623,9.030680901100446,Other/Media
10.42.0.113_150.171.23.17_443_54470_UDP,1064.8333333333333,405.1668037844276,159.0,1262.0,6389,6,0.07462716102600098,0.014925432205200196,0.015485755710239215,0.03411102294921875,2.384185791015625e-07,85611.1139838221,80.398604461251,Other/Media
10.42.0.113_157.240.211.1_0_0_Unknown,70.0,0.0,70.0,70.0,910,13,1703.9968819618225,141.9997401634852,470.5652746309913,1702.6881239414215,0.0028765201568603516,0.5340385355742392,0.007629121936774845,Other/Media
10.42.0.113_157.240.211.1_443_50254_UDP,675.0,583.2047953620867,78.0,1274.0,8100,12,0.05362129211425781,0.0048746629194779826,0.008591986739784918,0.024420738220214844,2.384185791015625e-07,151056.57890827578,223.78752430855673,Other/Media
10.42.0.113_157.240.211.1_443_51939_UDP,978.75,502.27762492470237,96.0,1274.0,15660,16,0.7606987953186035,0.05071325302124023,0.11100690369574387,0.4070558547973633,0.0,20586.30762933376,21.033264499957866,Other/Media
10.42.0.113_157.240.211.1_443_55280_UDP,978.4375,502.8238967011711,93.0,1274.0,15655,16,0.7586708068847656,0.05057805379231771,0.11379599717297664,0.41644883155822754,7.152557373046875e-07,20634.74595725663,21.089488043187867,Other/Media
10.42.0.113_157.240.211.1_443_61298_UDP,978.4375,502.8238967011711,93.0,1274.0,15655,16,0.7466392517089844,0.049775950113932294,0.11133438920360704,0.4086618423461914,0.0,20967.259619565488,21.42932953772263,Other/Media
10.42.0.113_157.240.231.39_443_51712_TCP,68.66666666666667,10.498677165349081,54.0,78.0,206,3,0.2383251190185547,0.11916255950927734,0.06798624992370605,0.1871488094329834,0.05117630958557129,864.3618284404741,12.587793618065158,Other/Media
10.42.0.113_157.240.231.39_443_61063_UDP,588.78125,560.3946563792676,83.0,1274.0,18841,32,0.7075624465942383,0.022824595051427043,0.04862736539665075,0.2268846035003662,0.0,26628.000768960897,45.225626272849034,Other/Media
10.42.0.113_163.70.131.15_443_61430_UDP,549.96,531.1081607356454,82.0,1274.0,13749,25,0.06523704528808594,0.002718210220336914,0.005413095683448259,0.02182173728942871,2.384185791015625e-07,210751.25625370175,383.2119722410753,Other/Media
10.42.0.113_17.242.179.27_443_52269_TCP,424.2,564.6986452967635,54.0,1605.0,10605,25,1.4528167247772217,0.0605340301990509,0.11144079692225925,0.30679941177368164,4.76837158203125e-07,7299.608078244086,17.2079398355589,Other/Media
10.42.0.113_17.242.179.27_443_52284_TCP,389.8,524.9212893377445,66.0,1605.0,7796,20,1.535261631011963,0.08080324373747173,0.11808703151178523,0.3000516891479492,2.384185791015625e-07,5077.958547627317,13.027087089859714,Other/Media
10.42.0.113_17.248.216.20_443_64885_UDP,575.7,591.954026931146,63.0,1514.0,28785,50,2.237750768661499,0.04566838303390814,0.15709271453591586,0.9571316242218018,0.0,12863.357054664564,22.343854533028598,Other/Media
10.42.0.113_17.248.216.28_443_54372_UDP,539.7647058823529,551.7473877879222,63.0,1514.0,18352,34,2.2279415130615234,0.06751337918368253,0.262659627444354,1.5094177722930908,0.0,8237.196378456654,15.260716917367386,Other/Media
10.42.0.113_17.248.216.42_443_52589_UDP,546.5172413793103,551.8161625840092,63.0,1514.0,15849,29,30.24427580833435,1.0801527074405126,5.538398757575219,29.858293533325195,4.76837158203125e-07,524.0330294699764,0.9588590986579164,Other/Media
10.42.0.113_17.248.216.64_443_58560_UDP,640.3548387096774,550.8334768791566,63.0,1514.0,19851,31,0.35276246070861816,0.011758748690287273,0.020143457892468776,0.0778803825378418,0.0,56272.8349475993,87.87758215583993,Other/Media
10.42.0.113_17.248.216.67_443_52417_UDP,680.0689655172414,549.7033639584223,63.0,1514.0,19722,29,0.30298280715942383,0.010820814541407995,0.017228229952666718,0.06898212432861328,0.0,65092.58757060469,95.7146861143665,Other/Media
10.42.0.113_17.248.216.69_443_52275_TCP,289.8469387755102,377.54733051147804,54.0,1607.0,28405,98,37.63878583908081,0.3880287199905238,3.0340412239646004,29.996635675430298,0.0,754.6736328522348,2.6036970962689323,Other/Media
10.42.0.113_17.253.85.131_443_52283_TCP,654.0566037735849,671.0655400630878,54.0,1616.0,34665,53,58.122575998306274,1.1177418461212745,7.960271138469296,57.96543073654175,0.0,596.4119588333147,0.9118659690802157,Other/Media
10.42.0.113_17.253.85.139_443_52270_TCP,421.29411764705884,641.3429168738215,54.0,2718.0,14324,34,0.6071157455444336,0.018397446834679806,0.04793358050879054,0.24065446853637695,0.0,23593.485281245066,56.00240851454428,Other/Media
10.42.0.113_17.253.85.139_443_52274_TCP,356.4642857142857,523.6004121289752,54.0,1615.0,9981,28,0.14547181129455566,0.005387844862761321,0.009329782174588344,0.02723836898803711,2.384185791015625e-07,68610.75902211247,192.47582933765648,Other/Media
10.42.0.113_17.253.87.1_443_64642_UDP,586.1612903225806,583.6881677841673,72.0,1392.0,36342,62,0.37062954902648926,0.006075894246335889,0.010052408574768941,0.04424262046813965,0.0,98054.5184293554,167.28248700181703,Other/Media
10.42.0.113_17.57.145.138_5223_52243_TCP,415.5933333333333,1346.3109353422865,54.0,8246.0,249356,600,1993.8627529144287,3.328652342094205,28.76027644613023,620.785083770752,0.0,125.06176742128044,0.30092342054239024,Other/Media
10.42.0.113_17.57.145.148_5223_52302_TCP,536.1071428571429,1434.5702962730613,66.0,8964.0,60044,112,239.26960396766663,2.155582017726726,14.413210761807631,128.53866863250732,4.76837158203125e-07,250.94704364189494,0.46809121457418285,Other/Media
10.42.0.113_172.217.194.91_0_0_Unknown,70.0,0.0,70.0,70.0,420,6,6.34107232093811,1.268214464187622,1.0728453265404787,3.178596258163452,0.27521491050720215,66.2348436522832,0.9462120521754743,Other/Media
10.42.0.113_172.217.194.91_443_52299_TCP,461.10714285714283,568.9041056079233,54.0,1590.0,12911,28,3.9847257137298584,0.1475824338418466,0.7230016784932967,3.8338327407836914,0.0,3240.121827053681,7.026830699210214,Other/Media
